content,score
"Udah daftar disuruh aktivasi ulang. Udah kirim pesan, operator nya online tapi gak ada responnya. 3 hari ditunggu ga di acc. Niat ga sih??",1
Ada fitur CCTV tapi ga bisa dilihat,2
"Lemot bgt,padahal jaringan besar bgt--_--",2
"Cctv nya kurang rata, gabisa mantau cowoku jalan sama selingkuhannya",3
Lama prosesnya,1
"Foto profil nya eror ga bisa di ubah, jadi saya ga sengaja klik foto yang salah pas mau di ganti lagi ga bisa padahal udah ada tulisan ""foto profil anda berhasil di ubah"" dan udah saya refresh² juga tetap ga bisa tolong di perbaiki",2
terimakasih atas layanan kk baru 1 hari jadi,5
Kadang nga konek,4
"Makin mantabs Aplikasi JSS sekarang, makin banyak aplikasi layanannya, makin stabil aplikasi didalamnya, serta tampilan yang makin oke punya, semangat ya temen-temen semoga aplikasi ini bermanfaat untuk masyarakat umum dan kota jogja pada khususnya.",5
"Kereeeen, sudah ada cctv nya lg.. Tambahkan inovasi2 terbaru..",5
Mantap banget bosku,5
"bosok, g guna, daftar ajah dpersulit",1
Masuk ke registrasinya lama bnget ya,3
Sangat membantu,4
gak stabil :(,1
Ra genah masa server pemerintah eror bug sperti ini... Gimana ini programer nya .? Bisa di BUG HUNTER sama Hacker kecolongan data dah,1
"Membantu, tapi sekarang jjs hotspot saya nggak bisa dipakek, diotak-atik nggak ada hasil",3
Lag WiFi,3
Good,2
Pelayanan baik,5
Siplah,5
Katanya ada PBB ternyata tidak ada,1
Login tidak bisaaaa.,1
"Aplikasi layanan cukup mempermudah,hanya saja respon petugas perlu ditingkatkan. . ..trima kasih. . ..",5
Baik,5
Kok tidak bisa dipake?,1
Sudah 4 hari daftar masih muter aja blm bisa masuk aplikasi parah jelekny,1
"Buat 4 akun Sudah 2 hari cuma muter semua belum bisa di gunakan , mohon di perbaiki apanya gitu biar proses pendaftaran ya bisa lebih cepat, kalo belum siap pakai aplikasi mending pakai WA aja dulu kaya kemarin",2
Mantap responnya,5
Sering trouble Kurang smart,1
pas mau masuk kenapa minta verifikasi trus si,3
